,city,Record_ID,latitude,temp_max,humidity,wind,clouds
0,bambous virieux,0,-20.34,82.4,65.0,9.17,40.0
1,upernavik,1,72.79,1.87,89.0,5.1,100.0
2,cabo san lucas,2,22.89,70.0,49.0,8.05,40.0
3,cape town,3,-33.93,66.99,93.0,8.05,75.0
4,atuona,4,-9.8,81.36,78.0,21.47,20.0
5,vaitupu,5,,,,,
6,saleaula,6,,,,,
7,punta arenas,7,-53.15,44.6,70.0,11.41,40.0
8,tuatapere,8,-46.13,60.01,86.0,8.99,73.0
9,ostrovnoy,9,68.05,32.41,91.0,38.16,100.0
10,bredasdorp,10,-34.53,66.2,82.0,8.05,15.0
11,port elizabeth,11,-33.92,69.8,77.0,19.46,20.0
12,tuktoyaktuk,12,69.45,-23.8,74.0,17.22,20.0
13,lavrentiya,13,65.58,-2.81,91.0,11.05,100.0
14,dzhebariki-khaya,14,62.22,-4.56,96.0,2.1,100.0
15,talnakh,15,69.49,10.4,85.0,24.61,75.0
16,kungurtug,16,50.6,15.6,70.0,2.8,100.0
17,victoria,17,22.29,64.0,26.0,12.75,0.0
18,qaanaaq,18,77.48,-0.96,48.0,4.83,78.0
19,mataura,19,-46.19,60.01,86.0,8.99,33.0
20,ushuaia,20,-54.8,44.6,81.0,8.05,40.0
21,bullhead city,21,35.15,64.4,36.0,3.78,1.0
22,kamenskoye,22,,,,,
23,worland,23,44.02,30.2,92.0,9.17,75.0
24,bengkulu,24,-3.8,87.91,53.0,6.4,46.0
25,nioro,25,13.35,73.29,21.0,3.31,93.0
26,sitka,26,57.05,35.6,71.0,5.82,75.0
27,bethel,27,41.37,39.99,86.0,4.16,75.0
28,puerto ayora,28,-0.74,77.07,87.0,3.91,26.0
29,bucerias,29,20.75,72.0,94.0,2.24,5.0
30,san cristobal,30,7.77,80.6,65.0,2.24,40.0
31,saskylakh,31,71.92,-6.66,96.0,9.08,99.0
32,kapaa,32,22.08,77.0,73.0,19.46,20.0
33,belushya guba,33,,,,,
34,amderma,34,,,,,
35,port alfred,35,-33.59,71.01,85.0,7.0,97.0
36,albany,36,42.6,32.0,73.0,4.97,20.0
37,sechura,37,-5.56,73.63,88.0,8.52,41.0
38,maceio,38,-9.67,77.0,94.0,2.24,20.0
39,coquimbo,39,-29.95,60.8,82.0,3.36,75.0
40,arinos,40,-15.92,70.57,95.0,0.51,89.0
41,roald,41,62.58,42.8,80.0,13.87,90.0
42,dagestanskiye ogni,42,42.12,32.43,92.0,5.32,100.0
43,bridgewater,43,44.38,32.0,93.0,4.14,100.0
44,mahebourg,44,-20.41,82.4,65.0,9.17,40.0
45,palabuhanratu,45,,,,,
46,barrow,46,71.29,-38.2,82.0,9.17,1.0
47,cayenne,47,4.93,78.8,78.0,6.93,75.0
48,orange walk,48,17.83,72.0,90.0,1.99,3.0
49,barentsburg,49,,,,,
50,taoudenni,50,22.68,64.38,18.0,6.08,65.0
51,yerbogachen,51,61.28,7.99,91.0,8.1,100.0
52,khatanga,52,71.97,9.01,92.0,14.5,99.0
53,georgetown,53,5.41,89.6,62.0,6.93,20.0
